Scenario,Quarter,Quarter_Index,MAU,Paid_Conversion_Rate,Paid_Users,Net_B2C_ARPPU_Quarter_EUR,B2C_Revenue_EUR,B2B_B2G_Active_Contracts,B2B_B2G_Revenue_EUR,Grants_Other_Operating_Income_EUR,Total_Operating_Revenue_EUR,Payroll_Contractors_EUR,Infrastructure_Maps_EUR,Data_Moderation_EUR,Legal_Security_Insurance_EUR,Field_Testing_EUR,Sales_Marketing_EUR,Administration_Contingency_EUR,Total_Operating_Costs_EUR,Operating_Cash_Flow_EUR,Opening_Cash_EUR,Financing_Inflows_Net_EUR,Cumulative_Financing_EUR,Closing_Cash_EUR,Gross_Burn_EUR,Net_Burn_EUR,Average_Monthly_Net_Burn_EUR,Runway_Months,Scenario_Total_Net_Funding_EUR,Revenue_Check_EUR,Cash_Check_EUR
Base,Q3 2028,8,95000,0.055,5225,10.00,52250.00,14,112000.00,20000.00,184250.00,260000.00,48000.00,40000.00,10000.00,18000.00,100000.00,26000.00,502000.00,-317750.00,4442000.00,0.00,5600000.00,4124250.00,502000.00,317750.00,105916.67,38.9,5600000.00,0.00,0.00
Base,Q4 2028,9,135000,0.060,8100,10.00,81000.00,18,144000.00,0.00,225000.00,300000.00,65000.00,52000.00,10000.00,20000.00,130000.00,30000.00,607000.00,-382000.00,4124250.00,0.00,5600000.00,3742250.00,607000.00,382000.00,127333.33,29.4,5600000.00,0.00,0.00
Base,Q1 2029,10,185000,0.065,12025,10.00,120250.00,24,192000.00,100000.00,412250.00,350000.00,85000.00,67000.00,12000.00,22000.00,165000.00,35000.00,736000.00,-323750.00,3742250.00,0.00,5600000.00,3418500.00,736000.00,323750.00,107916.67,31.7,5600000.00,0.00,0.00
Base,Q2 2029,11,250000,0.070,17500,10.00,175000.00,30,240000.00,50000.00,465000.00,400000.00,110000.00,85000.00,12000.00,25000.00,205000.00,40000.00,877000.00,-412000.00,3418500.00,0.00,5600000.00,3006500.00,877000.00,412000.00,137333.33,21.9,5600000.00,0.00,0.00
Base,Q3 2029,12,320000,0.075,24000,10.00,240000.00,38,304000.00,0.00,544000.00,450000.00,140000.00,105000.00,14000.00,28000.00,250000.00,46000.00,1033000.00,-489000.00,3006500.00,0.00,5600000.00,2517500.00,1033000.00,489000.00,163000.00,15.4,5600000.00,0.00,0.00
Base,Q4 2029,13,400000,0.080,32000,10.00,320000.00,48,384000.00,0.00,704000.00,500000.00,175000.00,130000.00,16000.00,32000.00,300000.00,52000.00,1205000.00,-501000.00,2517500.00,0.00,5600000.00,2016500.00,1205000.00,501000.00,167000.00,12.1,5600000.00,0.00,0.00
Accelerated,Q4 2026,1,4000,0.000,0,10.50,0.00,0,0.00,50000.00,50000.00,110000.00,8000.00,8000.00,25000.00,8000.00,20000.00,12000.00,191000.00,-141000.00,0.00,2200000.00,2200000.00,2059000.00,191000.00,141000.00,47000.00,43.8,6500000.00,0.00,0.00
Accelerated,Q1 2027,2,9000,0.015,135,10.50,1417.50,1,10000.00,50000.00,61417.50,140000.00,12000.00,12000.00,15000.00,10000.00,30000.00,15000.00,234000.00,-172582.50,2059000.00,0.00,2200000.00,1886417.50,234000.00,172582.50,57527.50,32.8,6500000.00,0.00,0.00
Accelerated,Q2 2027,3,20000,0.025,500,10.50,5250.00,3,30000.00,40000.00,75250.00,180000.00,18000.00,18000.00,12000.00,14000.00,45000.00,18000.00,305000.00,-229750.00,1886417.50,0.00,2200000.00,1656667.50,305000.00,229750.00,76583.33,21.6,6500000.00,0.00,0.00
Accelerated,Q3 2027,4,40000,0.035,1400,10.50,14700.00,6,60000.00,30000.00,104700.00,230000.00,28000.00,26000.00,12000.00,18000.00,65000.00,22000.00,401000.00,-296300.00,1656667.50,0.00,2200000.00,1360367.50,401000.00,296300.00,98766.67,13.8,6500000.00,0.00,0.00
Accelerated,Q4 2027,5,70000,0.045,3150,10.50,33075.00,10,100000.00,0.00,133075.00,290000.00,40000.00,38000.00,15000.00,22000.00,90000.00,27000.00,522000.00,-388925.00,1360367.50,0.00,2200000.00,971442.50,522000.00,388925.00,129641.67,7.5,6500000.00,0.00,0.00
Accelerated,Q1 2028,6,120000,0.055,6600,10.50,69300.00,16,160000.00,150000.00,379300.00,360000.00,60000.00,55000.00,12000.00,27000.00,125000.00,32000.00,671000.00,-291700.00,971442.50,4300000.00,6500000.00,4979742.50,671000.00,291700.00,97233.33,51.2,6500000.00,0.00,0.00
Accelerated,Q2 2028,7,200000,0.065,13000,10.50,136500.00,25,250000.00,100000.00,486500.00,440000.00,85000.00,78000.00,15000.00,32000.00,170000.00,38000.00,858000.00,-371500.00,4979742.50,0.00,6500000.00,4608242.50,858000.00,371500.00,123833.33,37.2,6500000.00,0.00,0.00
Accelerated,Q3 2028,8,300000,0.075,22500,10.50,236250.00,38,380000.00,50000.00,666250.00,530000.00,120000.00,105000.00,18000.00,38000.00,230000.00,45000.00,1086000.00,-419750.00,4608242.50,0.00,6500000.00,4188492.50,1086000.00,419750.00,139916.67,29.9,6500000.00,0.00,0.00
Accelerated,Q4 2028,9,450000,0.080,36000,10.50,378000.00,55,550000.00,0.00,928000.00,620000.00,165000.00,140000.00,20000.00,45000.00,300000.00,52000.00,1342000.00,-414000.00,4188492.50,0.00,6500000.00,3774492.50,1342000.00,414000.00,138000.00,27.4,6500000.00,0.00,0.00
Accelerated,Q1 2029,10,650000,0.085,55250,10.50,580125.00,75,750000.00,200000.00,1530125.00,720000.00,220000.00,180000.00,22000.00,52000.00,380000.00,60000.00,1634000.00,-103875.00,3774492.50,0.00,6500000.00,3670617.50,1634000.00,103875.00,34625.00,106.0,6500000.00,0.00,0.00
Accelerated,Q2 2029,11,900000,0.090,81000,10.50,850500.00,100,1000000.00,100000.00,1950500.00,820000.00,290000.00,230000.00,25000.00,60000.00,470000.00,70000.00,1965000.00,-14500.00,3670617.50,0.00,6500000.00,3656117.50,1965000.00,14500.00,4833.33,756.4,6500000.00,0.00,0.00
Accelerated,Q3 2029,12,1200000,0.095,114000,10.50,1197000.00,130,1300000.00,0.00,2497000.00,920000.00,370000.00,290000.00,28000.00,70000.00,570000.00,80000.00,2328000.00,169000.00,3656117.50,0.00,6500000.00,3825117.50,2328000.00,0.00,0.00,,6500000.00,0.00,0.00
Accelerated,Q4 2029,13,1500000,0.100,150000,10.50,1575000.00,165,1650000.00,0.00,3225000.00,1020000.00,470000.00,360000.00,32000.00,80000.00,680000.00,92000.00,2734000.00,491000.00,3825117.50,0.00,6500000.00,4316117.50,2734000.00,0.00,0.00,,6500000.00,0.00,0.00
